regional,municipio,localizacao,escola_indigena,codigo_escola,tem_publicacao,nome_escola,eja_fundamental_iniciais,eja_fundamental_finais,eja_medio,atendimento_especializado_aee
ABAETETUBA,Abaetetuba,Urbana,False,15064280,True,ESCOLA ESTADUAL SAO FRANCISCO XAVIER,0.0,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Urbana,False,15064360,True,ESCOLA ESTADUAL PROF BERNARDINO PEREIRA DE BARROS,0.0,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Urbana,False,15064417,True,ESCOLA ESTADUAL PROF CARMEM CARDOSO FERREIRA,0.0,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Urbana,False,15064450,True,ESCOLA ESTADUAL PROF BASILIO DE CARVALHO,0.0,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Urbana,False,15064514,True,ESCOLA ESTADUAL TEREZINHA DE JESUS F LIMA,0.0,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Urbana,False,15064557,True,ESCOLA ESTADUAL PROF LAURA DOS SANTOS RIBEIRO,0.0,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Urbana,False,15064646,True,ESCOLA ESTADUAL PEDRO TEIXEIRA,0.0,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Urbana,False,15064654,True,ESCOLA ESTADUAL PROF LEONARDO NEGRAO DE SOUSA,0.0,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Urbana,False,15064905,True,ESCOLA ESTADUAL ESMERINA BOU HABIB,0.0,0.5,0.5,0.5
ABAETETUBA,Abaetetuba,Urbana,False,15065006,True,ESCOLA ESTADUAL PROF LEONIDAS MONTE,0.0,0.5,0.5,0.5
ABAETETUBA,Abaetetuba,Urbana,False,15066878,True,ESCOLA ESTADUAL CRISTO REDENTOR,0.0,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Rural,False,15067157,True,ESCOLA ESTADUAL SAO MIGUEL DE BEJA,0.0,0.5,0.5,0.5
ABAETETUBA,Abaetetuba,Urbana,False,15096700,True,ESCOLA ESTADUAL CRISTO TRABALHADOR,0.0,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Rural,False,15163768,True,ESCOLA ESTADUAL DO CAMPO PROFA BENEDITA LIMA ARAUJ,,0.5,0.5,0.5
ABAETETUBA,Abaetetuba,Rural,False,15169057,True,ANEXO EE PROF BASILIO DE CARVALHO - RIO QUIANDUBA,0.0,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Rural,False,15169944,True,ANEXO EE PEDRO TEIXEIRA - RIO CAMPOMPEMA,0.0,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Rural,False,15169987,True,ANEXO EE PROF BASILIO DE CARVALHO - RIO ARUMANDUBA,0.0,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Rural,False,15170020,True,ANEXO EE PROF LEONARDO NEGRAO DE SOUSA - COLONIA,,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Rural,False,15170713,True,ANEXO EE PROF BENVINDA DE ARAUJO PONTES - RIO ITACUR,,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Rural,False,15175642,True,ANEXO EE PEDRO TEIXEIRA - RIO FURO GRANDE,0.0,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Rural,False,15177416,True,ESCOLA ESTADUAL RURAL DE ABAETETUBA,0.0,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Rural,False,15179710,True,ANEXO EE PROF BENVINDA DE ARAUJO PONTES - AJUAI,0.0,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Urbana,False,15555186,True,ESCOLA ESTADUAL PROF BENVINDA DE ARAUJO PONTES,0.0,0.0,0.0,0.5
ABAETETUBA,Abaetetuba,Urbana,False,15576396,True,ESCOLA ESTADUAL IRMA STELLA MARIA,0.0,0.0,0.0,0.5
MARABA,Abel Figueiredo,Urbana,False,15116220,True,ESCOLA ESTADUAL PROF HELIO FROTA LIMA,0.0,0.0,0.0,0.5
ABAETETUBA,Acará,Rural,False,15177440,True,ESCOLA ESTADUAL RURAL DE ACARA,0.0,0.0,0.0,0.5
ABAETETUBA,Acará,Urbana,False,15569748,True,ESCOLA ESTADUAL FELIPE PATRONI,0.0,0.0,0.5,0.5
ABAETETUBA,Acará,Urbana,False,15585042,True,ESCOLA ESTADUAL PROFA DEUSALINA DA CUNHA E SOUZA C,,0.0,0.5,0.5
AFUA,Afuá,Urbana,False,15022617,True,ESCOLA ESTADUAL LEOPOLDINA GUERREIRO,0.0,0.0,0.5,0.5
AFUA,Afuá,Rural,False,15178200,True,ESCOLA ESTADUAL RURAL DE AFUA,0.0,0.0,0.0,0.5
XINGUARA,Água Azul do Norte,Urbana,False,15123618,True,ESCOLA ESTADUAL JOSE LUIZ MARTINS,0.0,0.0,0.0,0.5
