ordem,dre,etapa_ensino,desempenho_lingua_portuguesa,desempenho_matematica,nota_padronizada_lp,nota_padronizada_mat,nota_padronizada_media,fluxo_tempo_medio,ideb
1,ANANINDEUA 01,ENSINO FUNDAMENTAL ANOS INICIAIS,213.92,221.13,6.0,6.15,6.07,0.99,6.0
2,ANANINDEUA 02,ENSINO FUNDAMENTAL ANOS INICIAIS,215.4,225.23,6.05,6.31,6.18,1.0,6.2
3,ANANINDEUA 03,ENSINO FUNDAMENTAL ANOS INICIAIS,224.41,235.65,6.38,6.7,6.54,1.0,6.5
4,ANANINDEUA 04,ENSINO FUNDAMENTAL ANOS INICIAIS,217.3,223.15,6.12,6.23,6.17,1.0,6.2
5,ANANINDEUA 05,ENSINO FUNDAMENTAL ANOS INICIAIS,211.43,216.21,5.91,5.96,5.93,1.0,5.9
6,BELEM 01,ENSINO FUNDAMENTAL ANOS INICIAIS,211.15,224.78,5.9,6.29,6.09,1.0,6.1
7,BELEM 02,ENSINO FUNDAMENTAL ANOS INICIAIS,210.57,218.51,5.88,6.05,5.96,1.0,6.0
8,BELEM 03,ENSINO FUNDAMENTAL ANOS INICIAIS,215.45,229.9,6.05,6.48,6.27,1.0,6.3
9,BELEM 04,ENSINO FUNDAMENTAL ANOS INICIAIS,210.78,216.69,5.88,5.98,5.93,0.99,5.9
10,BELEM 05,ENSINO FUNDAMENTAL ANOS INICIAIS,211.62,220.02,5.91,6.11,6.01,1.0,6.0
11,BELEM 06,ENSINO FUNDAMENTAL ANOS INICIAIS,224.97,231.0,6.4,6.53,6.46,1.0,6.5
12,BELEM 07,ENSINO FUNDAMENTAL ANOS INICIAIS,219.85,229.36,6.21,6.46,6.34,1.0,6.3
13,BELEM 08,ENSINO FUNDAMENTAL ANOS INICIAIS,211.4,227.04,5.91,6.38,6.14,1.0,6.1
14,BELEM 09,ENSINO FUNDAMENTAL ANOS INICIAIS,209.36,219.39,5.83,6.08,5.96,1.0,6.0
15,BELEM 10,ENSINO FUNDAMENTAL ANOS INICIAIS,213.93,213.88,6.0,5.87,5.94,1.0,5.9
16,BRAGANCA,ENSINO FUNDAMENTAL ANOS INICIAIS,200.27,211.51,5.5,5.78,5.64,1.0,5.6
17,CACHOEIRA DO ARARI,ENSINO FUNDAMENTAL ANOS INICIAIS,197.02,197.4,5.38,5.24,5.31,1.0,5.3
18,CAPANEMA,ENSINO FUNDAMENTAL ANOS INICIAIS,208.14,221.15,5.79,6.15,5.97,1.0,6.0
19,CAPITAO POCO,ENSINO FUNDAMENTAL ANOS INICIAIS,184.31,206.86,4.92,5.61,5.26,0.99,5.2
20,CASTANHAL,ENSINO FUNDAMENTAL ANOS INICIAIS,187.97,198.44,5.05,5.28,5.17,1.0,5.2
21,CONCEICAO DO ARAGUAIA,ENSINO FUNDAMENTAL ANOS INICIAIS,189.99,194.23,5.13,5.12,5.13,1.0,5.1
22,CURRALINHO,ENSINO FUNDAMENTAL ANOS INICIAIS,204.88,222.34,5.67,6.2,5.93,1.0,5.9
23,MARACANA,ENSINO FUNDAMENTAL ANOS INICIAIS,203.7,208.07,5.63,5.65,5.64,1.0,5.6
24,MONTE ALEGRE,ENSINO FUNDAMENTAL ANOS INICIAIS,212.36,221.07,5.94,6.15,6.04,1.0,6.0
25,OBIDOS,ENSINO FUNDAMENTAL ANOS INICIAIS,201.75,217.23,5.55,6.0,5.78,1.0,5.8
26,SANTA BARBARA,ENSINO FUNDAMENTAL ANOS INICIAIS,214.65,219.14,6.02,6.07,6.05,1.0,6.0
27,ABAETETUBA,ENSINO FUNDAMENTAL ANOS FINAIS,251.4,248.75,5.05,4.96,5.0,0.99,
28,ANANINDEUA 01,ENSINO FUNDAMENTAL ANOS FINAIS,256.85,253.59,5.23,5.12,5.17,1.0,
29,ANANINDEUA 02,ENSINO FUNDAMENTAL ANOS FINAIS,257.01,245.91,5.23,4.86,5.05,0.99,
30,ANANINDEUA 03,ENSINO FUNDAMENTAL ANOS FINAIS,260.41,251.88,5.35,5.06,5.2,1.0,
31,ANANINDEUA 04,ENSINO FUNDAMENTAL ANOS FINAIS,263.15,251.68,5.44,5.06,5.25,1.0,
32,ANANINDEUA 05,ENSINO FUNDAMENTAL ANOS FINAIS,255.82,250.2,5.19,5.01,5.1,0.99,
33,BELEM 01,ENSINO FUNDAMENTAL ANOS FINAIS,247.3,243.51,4.91,4.78,4.85,1.0,
34,BELEM 02,ENSINO FUNDAMENTAL ANOS FINAIS,261.49,249.59,5.38,4.99,5.18,0.99,
35,BELEM 03,ENSINO FUNDAMENTAL ANOS FINAIS,248.74,243.27,4.96,4.78,4.87,1.0,
36,BELEM 04,ENSINO FUNDAMENTAL ANOS FINAIS,257.72,250.54,5.26,5.02,5.14,0.99,
37,BELEM 05,ENSINO FUNDAMENTAL ANOS FINAIS,260.98,256.14,5.37,5.2,5.29,1.0,
38,BELEM 06,ENSINO FUNDAMENTAL ANOS FINAIS,265.49,259.37,5.52,5.31,5.41,1.0,
39,BELEM 07,ENSINO FUNDAMENTAL ANOS FINAIS,267.67,266.26,5.59,5.54,5.57,1.0,
40,BELEM 08,ENSINO FUNDAMENTAL ANOS FINAIS,253.96,245.22,5.13,4.84,4.99,0.99,
41,BELEM 09,ENSINO FUNDAMENTAL ANOS FINAIS,252.92,249.34,5.1,4.98,5.04,0.99,
42,BELEM 10,ENSINO FUNDAMENTAL ANOS FINAIS,247.67,240.52,4.92,4.68,4.8,1.0,
43,BENEVIDES,ENSINO FUNDAMENTAL ANOS FINAIS,246.1,243.46,4.87,4.78,4.83,1.0,
44,BRAGANCA,ENSINO FUNDAMENTAL ANOS FINAIS,253.36,247.85,5.11,4.93,5.02,0.99,
45,CACHOEIRA DO ARARI,ENSINO FUNDAMENTAL ANOS FINAIS,243.53,247.3,4.78,4.91,4.85,1.0,
46,CAMETA,ENSINO FUNDAMENTAL ANOS FINAIS,271.91,254.14,5.73,5.14,5.43,1.0,
47,CAPANEMA,ENSINO FUNDAMENTAL ANOS FINAIS,254.03,254.67,5.13,5.16,5.15,1.0,
48,CAPITAO POCO,ENSINO FUNDAMENTAL ANOS FINAIS,256.26,258.44,5.21,5.28,5.24,0.99,
49,CASTANHAL,ENSINO FUNDAMENTAL ANOS FINAIS,249.85,244.69,4.99,4.82,4.91,0.99,
