regional,municipio,localizacao,escola_indigena,codigo_escola,nome_escola,ponto_bonus_professor,etapa_ensino
ANANINDEUA 01,Ananindeua,Urbana,False,15167054,ESCOLA ESTADUAL PROF ANTONIO CARLOS GOMES DA COSTA,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
BELEM 10,Ananindeua,Rural,False,15170209,ANEXO EE COLONIA DO FIDELIS - ILHA JOAO PILATOS,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
BELEM 10,Belém,Urbana,False,15042952,ESCOLA ESTADUAL PROFA MARTA DA CONCEICAO,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
SANTA BARBARA,Belém,Rural,False,15043339,ESCOLA ESTADUAL PROF LUIZA DE BARROS PIRES,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15155862,ESCOLA ESTADUAL INDIGENA PEPTYKRE PARKATEJE,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15162990,ESCOLA ESTADUAL INDIGENA KATEKAPONOTI,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15170411,ESCOLA ESTADUAL INDIGENA ME AKRE KOYAKATI,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15170462,ESCOLA ESTADUAL INDIGENA RONORE KAPERE TEMEJAKREKATE AKRATIKATEJE,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15171892,ESCOLA ESTADUAL INDIGENA IMPOHYTUWA,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15171957,ESCOLA ESTADUAL INDIGENA KUXWARE KRIAMRENTIJE,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15171965,ESCOLA ESTADUAL INDIGENA TOKURYKTI,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15172694,ESCOLA ESTADUAL INDIGENA AKROTIKATEJE,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15172708,ESCOLA ESTADUAL INDIGENA JUKAPI KRIJOHERE,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15173186,ESCOLA ESTADUAL INDIGENA KOJIPOKTI,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15179249,ESCOLA ESTADUAL INDIGENA KWYNTYNKRE KYIKATEJE,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15179796,ESCOLA ESTADUAL INDIGENA KRUAPUTITIRE,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15179800,ESCOLA ESTADUAL INDIGENA KWYNKAPREKRE KUWEKATITI,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15181464,ESCOLA ESTADUAL INDIGENA PAHIXATI,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15181472,ESCOLA ESTADUAL INDIGENA ROKOKATEJE,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15181480,ESCOLA ESTADUAL INDIGENA JATHIATI PARKATEJE,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15181499,ESCOLA ESTADUAL INDIGENA AKRATI ME HAKRE,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15181502,ANEXO JARKOJAHERE,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15574261,ESCOLA ESTADUAL INDIGENA TATAKT KYIKATEJE,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
CACHOEIRA DO ARARI,Cachoeira do Arari,Rural,False,15177572,ESCOLA ESTADUAL RURAL DE CACHOEIRA DO ARARI,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
CAPITAO POCO,Capitão Poço,Rural,True,15167143,ESCOLA ESTADUAL INDIGENA FELIX TEMBE,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
CAPITAO POCO,Capitão Poço,Rural,True,15176215,ESCOLA ESTADUAL INDIGENA ITA PUTYR,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
CAPITAO POCO,Capitão Poço,Rural,True,15176240,ANEXO EE INDIGENA FRANCISCO MAGNO TEMBE - ALDEIA PAKOTYW,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
CAPITAO POCO,Capitão Poço,Rural,True,15531422,ANEXO EE INDIGENA FELIX TEMBE - ALDEIA ITWACU,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
CAPITAO POCO,Capitão Poço,Rural,True,15534316,ESCOLA ESTADUAL FRANCISCO MAGNO TEMBE,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
CAPITAO POCO,Capitão Poço,Rural,True,15534324,ANEXO EE INDIGENA FRANCISCO MAGNO TEMBE - ALDEIA PIRA,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
CAPITAO POCO,Capitão Poço,Rural,True,15575217,ANEXO EE INDIGENA FRANCISCO MAGNO TEMBE - ALDEIA JACARE,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
CURRALINHO,Ponta de Pedras,Rural,False,15031829,ESCOLA ESTADUAL JOELSON DOS SANTOS RODRIGUES,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
CASTANHAL,Santa Maria do Pará,Rural,False,15062791,ESCOLA ESTADUAL INDIGENA CACICA MARIA CASSIANO TEMBE,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
BENEVIDES,Benevides,Rural,False,15043746,EEEF DA TERCEIRA TRAVESSA,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
CAPITAO POCO,Capitão Poço,Urbana,False,15148181,ESCOLA ESTADUAL ANTONIO VALDENIR ARAUJO DE LIMA,0.5,ENSINO FUNDAMENTAL ANOS INICIAIS
CAPITAO POCO,Capitão Poço,Rural,True,15171566,ANEXO EE FELIX TEMBE - RUFINO ROMAO TEMBE,0.0,ENSINO FUNDAMENTAL ANOS INICIAIS
CAPITAO POCO,Capitão Poço,Rural,True,15176223,ESCOLA ESTADUAL INDIGENA FRANCISCO ROMAO TEMBE,0.0,ENSINO FUNDAMENTAL ANOS INICIAIS
CAPITAO POCO,Capitão Poço,Rural,True,15176231,ESCOLA ESTADUAL INDIGENA PINO A,0.0,ENSINO FUNDAMENTAL ANOS INICIAIS
ANANINDEUA 01,Ananindeua,Urbana,False,15167054,ESCOLA ESTADUAL PROF ANTONIO CARLOS GOMES DA COSTA,,ENSINO FUNDAMENTAL ANOS FINAIS
BELEM 10,Belém,Urbana,False,15042952,ESCOLA ESTADUAL PROFA MARTA DA CONCEICAO,,ENSINO FUNDAMENTAL ANOS FINAIS
SANTA BARBARA,Belém,Rural,False,15043339,ESCOLA ESTADUAL PROF LUIZA DE BARROS PIRES,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15155862,ESCOLA ESTADUAL INDIGENA PEPTYKRE PARKATEJE,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15162990,ESCOLA ESTADUAL INDIGENA KATEKAPONOTI,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15170411,ESCOLA ESTADUAL INDIGENA ME AKRE KOYAKATI,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15170462,ESCOLA ESTADUAL INDIGENA RONORE KAPERE TEMEJAKREKATE AKRATIKATEJE,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15171892,ESCOLA ESTADUAL INDIGENA IMPOHYTUWA,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15171957,ESCOLA ESTADUAL INDIGENA KUXWARE KRIAMRENTIJE,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15171965,ESCOLA ESTADUAL INDIGENA TOKURYKTI,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15172694,ESCOLA ESTADUAL INDIGENA AKROTIKATEJE,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15172708,ESCOLA ESTADUAL INDIGENA JUKAPI KRIJOHERE,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15173186,ESCOLA ESTADUAL INDIGENA KOJIPOKTI,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15179249,ESCOLA ESTADUAL INDIGENA KWYNTYNKRE KYIKATEJE,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15179796,ESCOLA ESTADUAL INDIGENA KRUAPUTITIRE,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15181464,ESCOLA ESTADUAL INDIGENA PAHIXATI,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15181472,ESCOLA ESTADUAL INDIGENA ROKOKATEJE,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15181480,ESCOLA ESTADUAL INDIGENA JATHIATI PARKATEJE,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15181499,ESCOLA ESTADUAL INDIGENA AKRATI ME HAKRE,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15181502,ANEXO JARKOJAHERE,,ENSINO FUNDAMENTAL ANOS FINAIS
MARABA,Bom Jesus do Tocantins,Rural,True,15574261,ESCOLA ESTADUAL INDIGENA TATAKT KYIKATEJE,,ENSINO FUNDAMENTAL ANOS FINAIS
CAPITAO POCO,Capitão Poço,Rural,True,15167143,ESCOLA ESTADUAL INDIGENA FELIX TEMBE,,ENSINO FUNDAMENTAL ANOS FINAIS
CAPITAO POCO,Capitão Poço,Rural,True,15176215,ESCOLA ESTADUAL INDIGENA ITA PUTYR,,ENSINO FUNDAMENTAL ANOS FINAIS
CAPITAO POCO,Capitão Poço,Rural,True,15176223,ESCOLA ESTADUAL INDIGENA FRANCISCO ROMAO TEMBE,,ENSINO FUNDAMENTAL ANOS FINAIS
