ordem,dre,pontos_ai,pontos_af,pontos_em,matricula_ai,matricula_af,matricula_em,matricula_total,bonus_ai,bonus_af,bonus_em,bonus_ri,bonus_total
1,ABAETETUBA,,2.5,0.8,,6841.0,23059,29900,,0.6,0.6,,1.2
2,AFUA,,,1.0,,,2052,2052,,,1.0,,1.0
3,ALTAMIRA,,,2.5,,,11295,11295,,,2.5,1.0,3.5
4,ANANINDEUA 01,2.5,2.3,0.5,1078.0,1255.0,3443,5776,0.5,0.5,0.3,,1.3
5,ANANINDEUA 02,2.3,0.5,0.2,1867.0,3349.0,4263,9479,0.5,0.2,0.1,,0.7
6,ANANINDEUA 03,2.5,1.1,2.5,1696.0,2967.0,2616,7279,0.6,0.4,0.9,,1.9
7,ANANINDEUA 04,2.5,0.9,1.1,1707.0,1713.0,2277,5697,0.7,0.3,0.4,,1.5
8,ANANINDEUA 05,0.9,0.7,,699.0,2430.0,3012,6141,0.1,0.3,,,0.4
9,BELEM 01,0.9,0.5,0.7,4876.0,4954.0,2287,12117,0.4,0.2,0.1,,0.7
10,BELEM 02,2.5,0.7,0.9,1942.0,2329.0,3937,8208,0.6,0.2,0.4,,1.2
11,BELEM 03,2.5,0.9,0.9,2952.0,2241.0,1115,6308,1.2,0.3,0.2,,1.6
12,BELEM 04,0.7,0.7,,1101.0,2651.0,3029,6781,0.1,0.3,,,0.4
13,BELEM 05,2.1,2.3,1.3,2169.0,3678.0,2816,8663,0.5,1.0,0.4,,1.9
14,BELEM 06,2.5,2.5,1.3,1810.0,2145.0,2129,6084,0.7,0.9,0.5,,2.1
15,BELEM 07,1.3,2.5,1.3,2083.0,2416.0,4251,8750,0.3,0.7,0.6,1.0,2.6
16,BELEM 08,0.7,0.9,0.9,2968.0,4119.0,2890,9977,0.2,0.4,0.3,,0.8
17,BELEM 09,0.9,0.9,2.5,3118.0,3767.0,3361,10246,0.3,0.3,0.8,,1.4
18,BELEM 10,2.5,0.7,0.5,2446.0,4431.0,5044,11921,0.5,0.3,0.2,,1.0
19,BENEVIDES,,0.5,0.7,62.0,2012.0,5408,7482,,0.1,0.5,,0.6
20,BRAGANCA,1.0,2.5,0.9,276.0,5045.0,12128,17449,0.0,0.7,0.6,,1.4
21,BREVES,,,1.1,,,10538,10538,,,1.1,,1.1
22,CACHOEIRA DO ARARI,0.6,2.0,0.8,126.0,1459.0,2625,4210,0.0,0.7,0.5,,1.2
23,CAMETA,,0.5,2.5,,153.0,9575,9728,,0.0,2.5,1.0,3.5
24,CAPANEMA,2.5,2.5,2.5,281.0,8254.0,9899,18434,0.0,1.1,1.3,1.0,3.5
25,CAPITAO POCO,1.1,2.5,2.5,247.0,960.0,4030,5237,0.1,0.5,1.9,1.0,3.4
26,CASTANHAL,1.1,0.9,0.7,87.0,5467.0,14329,19883,0.0,0.2,0.5,1.0,1.8
27,CONCEICAO DO ARAGUAIA,0.8,2.5,0.9,115.0,1115.0,7304,8534,0.0,0.3,0.8,1.0,2.1
28,CURRALINHO,2.5,0.5,0.9,343.0,745.0,7498,8586,0.1,0.0,0.8,1.0,1.9
29,ITAITUBA,,,1.1,,,7543,7543,,,1.1,,1.1
30,MAE DO RIO,,0.7,0.5,,1448.0,10204,11652,,0.1,0.4,,0.5
31,MARABA,,,0.7,245.0,215.0,18892,19352,,,0.7,,0.7
32,MARACANA,2.1,0.6,1.0,448.0,1724.0,3275,5447,0.2,0.2,0.6,,1.0
33,MONTE ALEGRE,2.5,1.3,2.5,168.0,734.0,7404,8306,0.1,0.1,2.2,1.0,3.4
34,OBIDOS,1.3,2.0,0.8,110.0,708.0,9600,10418,0.0,0.1,0.7,,0.9
35,PARAUAPEBAS,,,0.9,,,15495,15495,,,0.9,1.0,1.9
36,SANTA BARBARA,2.3,0.7,0.9,545.0,1759.0,2134,4438,0.3,0.3,0.4,,1.0
37,SANTA IZABEL DO PARA,,2.1,0.9,,2660.0,11998,14658,,0.4,0.7,,1.1
38,SANTAREM,,0.7,1.1,,3600.0,18147,21747,,0.1,0.9,1.0,2.0
39,TUCURUI,,,1.3,,,8993,8993,,,1.3,1.0,2.3
40,XINGUARA,,,0.9,,,6280,6280,,,0.9,,0.9
