municipio,localizacao,codigo_escola,nome_escola,matricula_ef_iniciais,matricula_ef_finais,matricula_em,matricula_total,pontos_ef_iniciais,pontos_ef_finais,pontos_em,ponderado_ef_iniciais,ponderado_ef_finais,ponderado_em,indice_bonus
Abaetetuba,Rural,15067157,ESCOLA ESTADUAL SAO MIGUEL DE BEJA,0,353,197,550,0.0,1.7,0.6,0.0,1.1,0.2,1.3
Abaetetuba,Rural,15163768,ESCOLA ESTADUAL DO CAMPO PROFA BENEDITA LIMA ARAUJO,0,418,275,693,0.0,1.0,0.9,0.0,0.6,0.4,1.0
Abaetetuba,Rural,15169057,ANEXO EE PROF BASILIO DE CARVALHO - RIO QUIANDUBA,0,181,172,353,0.0,2.1,2.3,0.0,1.1,1.1,2.2
Abaetetuba,Rural,15169944,ANEXO EE PEDRO TEIXEIRA - RIO CAMPOMPEMA,0,94,62,156,0.0,0.6,3.5,0.0,0.4,1.4,1.8
Abaetetuba,Rural,15169987,ANEXO EE PROF BASILIO DE CARVALHO - RIO ARUMANDUBA,0,67,21,88,0.0,2.5,0.0,0.0,1.9,0.0,1.9
Abaetetuba,Rural,15170020,ANEXO EE PROF LEONARDO NEGRAO DE SOUSA - COLONIA NOVA,0,76,64,140,0.0,1.8,0.6,0.0,1.0,0.3,1.3
Abaetetuba,Rural,15170713,ANEXO EE PROF BENVINDA DE ARAUJO PONTES - RIO ITACURUCA,0,97,76,173,0.0,2.2,2.5,0.0,1.2,,2.3
Abaetetuba,Rural,15175642,ANEXO EE PEDRO TEIXEIRA - RIO FURO GRANDE,0,123,104,227,0.0,3.5,2.0,0.0,1.9,0.9,2.8
Abaetetuba,Rural,15177416,ESCOLA ESTADUAL RURAL DE ABAETETUBA,0,1174,1035,2209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abaetetuba,Rural,15179710,ANEXO EE PROF BENVINDA DE ARAUJO PONTES - AJUAI,0,119,92,211,0.0,0.5,0.5,0.0,0.3,0.2,0.5
Abaetetuba,Urbana,15064280,ESCOLA ESTADUAL SAO FRANCISCO XAVIER,0,807,868,1675,0.0,1.8,3.5,0.0,0.8,1.8,2.7
Abaetetuba,Urbana,15064360,ESCOLA ESTADUAL PROF BERNARDINO PEREIRA DE BARROS,0,66,268,334,0.0,2.5,2.5,0.0,0.5,2.0,2.5
Abaetetuba,Urbana,15064417,ESCOLA ESTADUAL PROF CARMEM CARDOSO FERREIRA,0,217,203,420,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abaetetuba,Urbana,15064450,ESCOLA ESTADUAL PROF BASILIO DE CARVALHO,0,447,473,920,0.0,2.5,2.2,0.0,1.2,1.1,2.3
Abaetetuba,Urbana,15064514,ESCOLA ESTADUAL TEREZINHA DE JESUS F LIMA,0,18,127,145,0.0,0.0,0.5,0.0,0.0,0.4,0.4
Abaetetuba,Urbana,15064557,ESCOLA ESTADUAL PROF LAURA DOS SANTOS RIBEIRO,0,87,0,87,0.0,2.5,0.0,0.0,2.5,0.0,2.5
Abaetetuba,Urbana,15064646,ESCOLA ESTADUAL PEDRO TEIXEIRA,0,251,211,462,0.0,0.0,0.9,0.0,0.0,0.4,0.4
Abaetetuba,Urbana,15064654,ESCOLA ESTADUAL PROF LEONARDO NEGRAO DE SOUSA,0,75,191,266,0.0,2.5,1.1,0.0,0.7,0.8,1.5
Abaetetuba,Urbana,15064905,ESCOLA ESTADUAL ESMERINA BOU HABIB,0,277,364,641,0.0,1.8,0.2,0.0,0.8,0.1,0.9
Abaetetuba,Urbana,15065006,ESCOLA ESTADUAL PROF LEONIDAS MONTE,0,209,254,463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abaetetuba,Urbana,15066878,ESCOLA ESTADUAL CRISTO REDENTOR,0,658,0,658,0.0,1.5,0.0,0.0,1.5,0.0,1.5
Abaetetuba,Urbana,15096700,ESCOLA ESTADUAL CRISTO TRABALHADOR,0,0,774,774,0.0,0.0,2.3,0.0,0.0,2.3,2.3
Abaetetuba,Urbana,15555186,ESCOLA ESTADUAL PROF BENVINDA DE ARAUJO PONTES,0,146,263,409,0.0,0.5,1.5,0.0,0.2,1.0,1.1
Abaetetuba,Urbana,15576396,ESCOLA ESTADUAL IRMA STELLA MARIA,0,419,471,890,0.0,2.5,0.5,0.0,1.2,0.3,1.4
Acará,Rural,15177440,ESCOLA ESTADUAL RURAL DE ACARA,0,0,1320,1320,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Acará,Urbana,15569748,ESCOLA ESTADUAL FELIPE PATRONI,0,0,721,721,0.0,0.0,0.7,0.0,0.0,0.7,0.7
Acará,Urbana,15585042,ESCOLA ESTADUAL PROFA DEUSALINA DA CUNHA E SOUZA CARNEIRO,0,0,577,577,0.0,0.0,0.7,0.0,0.0,0.7,0.7
Barcarena,Urbana,15035735,ESCOLA ESTADUAL PADRE JOSE DELGARDES,0,163,344,507,0.0,1.3,1.7,0.0,0.4,1.2,1.6
Barcarena,Urbana,15035867,ESCOLA ESTADUAL CONEGO BATISTA CAMPOS,0,158,701,859,0.0,0.3,0.3,0.0,0.1,0.2,0.3
Barcarena,Urbana,15035891,ESCOLA ESTADUAL EDUARDO ANGELIM,0,0,933,933,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Barcarena,Urbana,15035921,ESCOLA ESTADUAL ACY DE JESUS BARROS PEREIRA - VILA SAO FRANCISCO,0,0,645,645,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Barcarena,Urbana,15035956,ESCOLA ESTADUAL JOSE MARIA DE MORAES,0,0,111,111,0.0,0.0,0.7,0.0,0.0,0.7,0.7
Barcarena,Urbana,15035964,ESCOLA ESTADUAL PROF JOSE MARIA MACHADO,0,0,535,535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barcarena,Urbana,15037070,ESCOLA ESTADUAL PRESIDENTE DUTRA,0,141,548,689,0.0,1.1,1.5,0.0,0.2,1.2,1.4
Barcarena,Urbana,15576370,ESCOLA ESTADUAL PALMIRA GABRIEL,0,0,597,597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Igarapé-Miri,Rural,15177467,ESCOLA ESTADUAL RURAL DE IGARAPE MIRI,0,0,1407,1407,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Igarapé-Miri,Rural,15568857,ESCOLA ESTADUAL PROFA DALILA AFONSO CUNHA,0,0,264,264,0.0,0.0,0.3,0.0,0.0,0.3,0.3
Igarapé-Miri,Urbana,15570193,ESCOLA ESTADUAL ENEDINA SAMPAIO MELO,0,0,710,710,0.0,0.0,1.1,0.0,0.0,1.1,1.1
Igarapé-Miri,Urbana,15572226,ESCOLA ESTADUAL MANOEL ANTONIO DE CASTRO,0,0,611,611,0.0,0.0,2.5,0.0,0.0,2.5,2.5
Moju,Rural,15177483,ESCOLA ESTADUAL RURAL DE MOJU,0,0,2556,2556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moju,Urbana,15166562,ESCOLA ESTADUAL PROF ECILA PANTOJA DA ROCHA,0,0,246,246,0.0,0.0,1.5,0.0,0.0,1.5,1.5
Moju,Urbana,15568873,ESCOLA ESTADUAL PROFA ERNESTINA PEREIRA MAIA,0,0,1107,1107,0.0,0.0,0.1,0.0,0.0,0.1,0.1
Moju,Urbana,15587711,ESCOLA ESTADUAL ANTONIO DE OLIVEIRA GORDO,0,0,188,188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tailândia,Rural,15156788,ESCOLA ESTADUAL ERIBERTO JASPER,0,0,353,353,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Tailândia,Urbana,15084434,ESCOLA ESTADUAL SAO FRANCISCO DE ASSIS,0,0,703,703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tailândia,Urbana,15164535,ESCOLA ESTADUAL DELCIMAR ALVES DA SILVA,0,0,1317,1317,0.0,0.0,0.8,0.0,0.0,0.8,0.8
Afuá,Rural,15178200,ESCOLA ESTADUAL RURAL DE AFUA,0,0,680,680,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afuá,Urbana,15022617,ESCOLA ESTADUAL LEOPOLDINA GUERREIRO,0,0,556,556,0.0,0.0,2.0,0.0,0.0,2.0,2.0
Chaves,Rural,15178234,ESCOLA ESTADUAL RURAL DE CHAVES,0,0,603,603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chaves,Urbana,15029220,ESCOLA ESTADUAL MAGALHAES BARATA,0,0,213,213,0.0,0.0,1.1,0.0,0.0,1.1,1.1
Altamira,Urbana,15104893,ESCOLA ESTADUAL PROFA DAIRCE PEDROSA TORRES,0,0,162,162,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Altamira,Urbana,15104907,ESCOLA ESTADUAL POLIVALENTE,0,0,1166,1166,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Altamira,Urbana,15106101,ESCOLA ESTADUAL GETULIO VARGAS,0,0,354,354,0.0,0.0,0.9,0.0,0.0,0.9,0.9
Altamira,Urbana,15139603,ESCOLA ESTADUAL BARTOLOMEU MORAES DA SILVA,0,0,331,331,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Altamira,Urbana,15169138,ESCOLA ESTADUAL ODILA DE SOUSA,0,0,519,519,0.0,0.0,0.7,0.0,0.0,0.7,0.7
Altamira,Urbana,15583058,ESCOLA ESTADUAL PROFA DUCILLA ALMEIDA DO NASCIMENTO,0,0,887,887,0.0,0.0,0.9,0.0,0.0,0.9,0.9
Anapu,Rural,15177874,ESCOLA ESTADUAL RURAL DE ANAPU,0,0,259,259,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Anapu,Urbana,15575497,ESCOLA ESTADUAL MARIA JOSE SANTANA DA SILVA,0,0,550,550,0.0,0.0,1.1,0.0,0.0,1.1,1.1
Anapu,Urbana,15582728,ESCOLA ESTADUAL SANTA CLARA,0,0,90,90,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Brasil Novo,Rural,15177912,ESCOLA ESTADUAL RURAL DE BRASIL NOVO,0,0,89,89,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Brasil Novo,Urbana,15106250,ESCOLA ESTADUAL BRASIL NOVO,0,0,531,531,0.0,0.0,2.5,0.0,0.0,2.5,2.5
Medicilândia,Urbana,15107035,ESCOLA ESTADUAL FRANCISCA GOMES DOS SANTOS,0,0,527,527,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Porto de Moz,Rural,15178889,ESCOLA ESTADUAL RURAL DE PORTO DE MOZ,0,0,860,860,0.0,0.0,2.5,0.0,0.0,2.5,2.5
Porto de Moz,Urbana,15017893,ESCOLA ESTADUAL DOM PEDRO I,0,0,784,784,0.0,0.0,2.3,0.0,0.0,2.3,2.3
Porto de Moz,Urbana,15158950,ESCOLA ESTADUAL JOSE ALFREDO HAGE,0,0,198,198,0.0,0.0,3.5,0.0,0.0,3.5,3.5
Senador José Porfírio,Rural,15178137,ESCOLA ESTADUAL RURAL DE SENADOR JOSE PORFIRIO,0,0,297,297,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Senador José Porfírio,Urbana,15109194,ESCOLA ESTADUAL ROSA ALVAREZ REBELO,0,0,365,365,0.0,0.0,2.5,0.0,0.0,2.5,2.5
Uruará,Rural,15178030,ESCOLA ESTADUAL RURAL DE URUARA,0,0,364,364,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Uruará,Urbana,15109879,ESCOLA ESTADUAL MELVIN JONES,0,0,1029,1029,0.0,0.0,1.1,0.0,0.0,1.1,1.1
Vitória do Xingu,Rural,15178145,ESCOLA ESTADUAL RURAL DE VITORIA DO XINGU,0,0,238,238,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Vitória do Xingu,Urbana,15105016,ESCOLA ESTADUAL PADRE EURICO,0,0,457,457,0.0,0.0,1.3,0.0,0.0,1.3,1.3
Ananindeua,Urbana,15033830,ESCOLA ESTADUAL PRINCESA ISABEL - CENTRO,110,0,0,110,1.8,0.0,0.0,1.8,0.0,0.0,1.8
Ananindeua,Urbana,15034410,ESCOLA ESTADUAL ANTONIO TEIXEIRA GUEIROS,0,116,319,435,0.0,0.9,0.9,0.0,0.2,0.7,0.9
Ananindeua,Urbana,15034666,ESCOLA ESTADUAL MAGUARI,114,0,0,114,0.8,0.0,0.0,0.8,0.0,0.0,0.8
Ananindeua,Urbana,15034755,ESCOLA ESTADUAL JOSE MARCELINO DE OLIVEIRA,0,398,23,421,0.0,0.5,0.0,0.0,0.5,0.0,0.5
Ananindeua,Urbana,15034909,ESCOLA ESTADUAL WALTER BEZERRA FALCAO,0,0,397,397,0.0,0.0,2.5,0.0,0.0,2.5,2.5
Ananindeua,Urbana,15144720,ESCOLA ESTADUAL JARDIM JADER BARBALHO,205,0,0,205,2.0,0.0,0.0,2.0,0.0,0.0,2.0
Ananindeua,Urbana,15516830,ESCOLA ESTADUAL ANANI,234,0,0,234,1.7,0.0,0.0,1.7,0.0,0.0,1.7
Ananindeua,Urbana,15517039,ESCOLA ESTADUAL ESPIRITO SANTO,199,0,0,199,2.1,0.0,0.0,2.1,0.0,0.0,2.1
Ananindeua,Urbana,15521141,ESCOLA ESTADUAL CENTRO COMUNITARIO VILA ESPERANCA,0,115,0,115,0.0,2.5,0.0,0.0,2.5,0.0,2.5
Ananindeua,Urbana,15523420,ESCOLA ESTADUAL ARMANDO FAJARDO,0,223,401,624,0.0,0.6,0.1,0.0,0.2,0.1,0.3
Ananindeua,Urbana,15571955,ESCOLA ESTADUAL BENEDITO CELSO PADUA COSTA,215,0,0,215,2.1,0.0,0.0,2.1,0.0,0.0,2.1
Ananindeua,Urbana,15574199,ESCOLA ESTADUAL RAIMUNDO VERA CRUZ,0,0,877,877,0.0,0.0,0.5,0.0,0.0,0.5,0.5
Ananindeua,Urbana,15578020,ESCOLA ESTADUAL IZABEL AMAZONAS,0,402,242,644,0.0,2.5,0.5,0.0,1.6,0.2,1.7
Ananindeua,Urbana,15581853,ESCOLA ESTADUAL PROFA MARIA HELENA VALENTE TAVARES,0,0,1163,1163,0.0,0.0,0.9,0.0,0.0,0.9,0.9
Ananindeua,Urbana,15034046,ESCOLA ESTADUAL DOM ALBERTO GALDENCIO RAMOS,0,432,569,1001,0.0,0.4,0.1,0.0,0.2,0.1,0.2
Ananindeua,Urbana,15034330,ESCOLA ESTADUAL CELINA DEL TETTO,364,428,0,792,0.9,0.5,0.0,0.4,0.3,0.0,0.7
Ananindeua,Urbana,15034364,ESCOLA ESTADUAL ONEIDE DE SOUZA TAVARES,0,331,273,604,0.0,1.3,2.5,0.0,0.7,1.1,1.8
Ananindeua,Urbana,15034380,ESCOLA ESTADUAL PROF GELMIREZ MELO E SILVA,262,0,0,262,0.5,0.0,0.0,0.5,0.0,0.0,0.5
Ananindeua,Urbana,15034470,ESCOLA ESTADUAL PROF JOSE ASSIS RIBEIRO,313,0,0,313,2.5,0.0,0.0,2.5,0.0,0.0,2.5
Ananindeua,Urbana,15034500,ESCOLA ESTADUAL PROFA REGINA COELI SOUZA SILVA,0,547,365,912,0.0,0.5,0.5,0.0,0.3,0.2,0.5
Ananindeua,Urbana,15034550,ESCOLA ESTADUAL DEP ARMANDO CORREA,127,0,0,127,2.5,0.0,0.0,2.5,0.0,0.0,2.5
Ananindeua,Urbana,15034585,ESCOLA ESTADUAL DR GASPAR VIANNA,163,0,0,163,0.5,0.0,0.0,0.5,0.0,0.0,0.5
Ananindeua,Urbana,15034640,ESCOLA ESTADUAL LUIZ NUNES DIREITO,0,277,889,1166,0.0,0.5,0.0,0.0,0.1,0.0,0.1
Ananindeua,Urbana,15034763,ESCOLA ESTADUAL LUCY CORREA DE ARAUJO,0,348,420,768,0.0,0.3,1.5,0.0,0.1,0.8,1.0
Ananindeua,Urbana,15034844,ESCOLA ESTADUAL PROF ANTONIO GONDIM LINS,0,0,580,580,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ananindeua,Urbana,15035425,ESCOLA ESTADUAL ELAINE ISMAELINO DE FREITAS,193,0,0,193,0.7,0.0,0.0,0.7,0.0,0.0,0.7
Ananindeua,Urbana,15035530,ESCOLA ESTADUAL ANTONIO SAMPAIO,228,0,0,228,0.7,0.0,0.0,0.7,0.0,0.0,0.7
Ananindeua,Urbana,15539865,ESCOLA ESTADUAL MORADORES CRISTO REI,217,0,0,217,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Ananindeua,Urbana,15564363,ESCOLA ESTADUAL PROF FRANCISCO PAULO DO NASCIMENTO MENDES,0,250,665,915,0.0,0.5,0.5,0.0,0.1,0.4,0.5
Ananindeua,Urbana,15586332,ESCOLA ESTADUAL PARAENSE,0,204,0,204,0.0,0.9,0.0,0.0,0.9,0.0,0.9
Ananindeua,Urbana,15590917,ESCOLA ESTADUAL PROF MANOEL SATURNINO DE ANDRADE FAVACHO,0,532,502,1034,0.0,2.5,1.5,0.0,1.3,0.7,2.0
Ananindeua,Urbana,15034054,ESCOLA ESTADUAL PROF JOSE VALENTE RIBEIRO,0,314,239,553,0.0,0.5,0.5,0.0,0.3,0.2,0.5
Ananindeua,Urbana,15034186,ESCOLA ESTADUAL MINISTRO ALCIDES CARNEIRO,0,300,282,582,0.0,0.7,1.0,0.0,0.4,0.5,0.9
Ananindeua,Urbana,15034372,ESCOLA ESTADUAL JOAO CARLOS BATISTA,0,204,276,480,0.0,0.5,0.5,0.0,0.2,0.3,0.5
Ananindeua,Urbana,15034437,ESCOLA ESTADUAL ARIRI,212,0,0,212,2.3,0.0,0.0,2.3,0.0,0.0,2.3
Ananindeua,Urbana,15034445,ESCOLA ESTADUAL JOAQUIM VIANA,0,0,376,376,0.0,0.0,0.7,0.0,0.0,0.7,0.7
Ananindeua,Urbana,15035646,ESCOLA ESTADUAL CRISTO REDENTOR,90,220,109,419,0.7,1.1,2.5,0.2,0.6,0.7,1.4
Ananindeua,Urbana,15515613,ESCOLA ESTADUAL CENTRO EDUCACIONAL AMAZONIA,214,0,0,214,2.5,0.0,0.0,2.5,0.0,0.0,2.5
Ananindeua,Urbana,15516954,ESCOLA ESTADUAL NAIR RODRIGUES DE CALDAS BRITO ZALUTH,207,0,0,207,2.5,0.0,0.0,2.5,0.0,0.0,2.5
Ananindeua,Urbana,15521117,ESCOLA ESTADUAL CONSUELO COELHO E SOUZA,0,304,437,741,0.0,2.5,1.5,0.0,1.0,0.9,1.9
Belém,Urbana,15034151,ESCOLA ESTADUAL JARDIM SIDERAL,0,285,57,342,0.0,2.5,0.0,0.0,2.1,0.0,2.1
Belém,Urbana,15035042,ESCOLA ESTADUAL ELCIONE BARBALHO,66,0,0,66,2.5,0.0,0.0,2.5,0.0,0.0,2.5
Belém,Urbana,15035239,ESCOLA ESTADUAL PEDRO MARQUES DE MESQUITA,228,0,0,228,3.5,0.0,0.0,3.5,0.0,0.0,3.5
Belém,Urbana,15037991,ESCOLA ESTADUAL CONEGO BATISTA CAMPOS,68,254,173,495,2.1,2.5,1.5,0.3,1.3,0.5,2.1
Belém,Urbana,15042480,ESCOLA ESTADUAL ALMIRANTE JOAO FARIA DE LIMA,97,156,40,293,2.0,0.5,0.0,0.7,0.3,0.0,0.9
Belém,Urbana,15042855,ESCOLA ESTADUAL DONA HELENA GUILHON,0,489,252,741,0.0,0.5,2.5,0.0,0.3,0.9,1.2
Belém,Urbana,15042898,ESCOLA ESTADUAL PROFA DILMA DE SOUZA CATTETE,0,0,106,106,0.0,0.0,3.5,0.0,0.0,3.5,3.5
Belém,Urbana,15521125,ESCOLA ESTADUAL ALEXANDRE NICOMEDES DA CUNHA,271,0,0,271,1.5,0.0,0.0,1.5,0.0,0.0,1.5
Belém,Urbana,15535304,ESCOLA ESTADUAL GENERAL HENRIQUE GURJAO,243,0,0,243,2.5,0.0,0.0,2.5,0.0,0.0,2.5
Belém,Urbana,15564371,ESCOLA ESTADUAL PROF NAGIB COELHO MATNI,0,441,269,710,0.0,2.5,2.5,0.0,1.6,0.9,2.5
Ananindeua,Urbana,15033945,ESCOLA ESTADUAL CINDERELA,249,0,0,249,1.8,0.0,0.0,1.8,0.0,0.0,1.8
Ananindeua,Urbana,15034321,ESCOLA ESTADUAL CANDIDO HORACIO EVELIN,169,236,0,405,1.9,2.5,0.0,0.8,1.5,0.0,2.2
Ananindeua,Urbana,15034399,ESCOLA ESTADUAL MADRE CELESTE,0,0,419,419,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Ananindeua,Urbana,15034496,ESCOLA ESTADUAL PROFA MARIA ARAUJO FIGUEIREDO,0,121,158,279,0.0,1.5,0.7,0.0,0.7,0.4,1.0
Ananindeua,Urbana,15034569,ESCOLA ESTADUAL AGOSTINHO MONTEIRO,0,105,206,311,0.0,0.4,0.5,0.0,0.1,0.3,0.5
Ananindeua,Urbana,15034810,ESCOLA ESTADUAL GREGORIO DE ALMEIDA BRITO,382,0,0,382,1.1,0.0,0.0,1.1,0.0,0.0,1.1
Ananindeua,Urbana,15034828,ESCOLA ESTADUAL COMANDANTE LAURINDO CANDIDO AZEITONA,191,0,0,191,1.1,0.0,0.0,1.1,0.0,0.0,1.1
Ananindeua,Urbana,15034836,ESCOLA ESTADUAL PROF ZULIMA VERGOLINO DIAS,0,69,204,273,0.0,0.7,3.5,0.0,0.2,2.6,2.8
Ananindeua,Urbana,15034887,ESCOLA ESTADUAL RUI BARATA,258,0,0,258,2.5,0.0,0.0,2.5,0.0,0.0,2.5
Ananindeua,Urbana,15035662,ESCOLA ESTADUAL JORNALISTA ROMULO MAIORANA,0,475,877,1352,0.0,0.9,1.0,0.0,0.3,0.6,1.0
Ananindeua,Urbana,15140587,ESCOLA ESTADUAL MARIA DE NAZARE MARQUES RIOS,0,426,0,426,0.0,0.9,0.0,0.0,0.9,0.0,0.9
Ananindeua,Urbana,15154904,ESCOLA ESTADUAL ICUI LARANJEIRA,0,281,0,281,0.0,0.5,0.0,0.0,0.5,0.0,0.5
Ananindeua,Urbana,15520560,ESCOLA ESTADUAL PITAGORAS,0,0,413,413,0.0,0.0,0.7,0.0,0.0,0.7,0.7
Ananindeua,Urbana,15521150,ESCOLA ESTADUAL PADRE PIETRO GEROSA,284,0,0,284,2.3,0.0,0.0,2.3,0.0,0.0,2.3
Ananindeua,Urbana,15544850,ESCOLA ESTADUAL CONEGO BATISTA CAMPOS,174,0,0,174,2.5,0.0,0.0,2.5,0.0,0.0,2.5
Ananindeua,Urbana,15033864,ESCOLA ESTADUAL NOVO HORIZONTE,0,301,405,706,0.0,0.4,0.0,0.0,0.2,0.0,0.2
Ananindeua,Urbana,15034143,ESCOLA ESTADUAL PRINCIPE DA PAZ,0,222,104,326,0.0,0.2,0.8,0.0,0.1,0.3,0.4
Ananindeua,Urbana,15034348,ESCOLA ESTADUAL ANTONIO BEZERRA FALCAO,126,0,0,126,1.3,0.0,0.0,1.3,0.0,0.0,1.3
Ananindeua,Urbana,15034542,ESCOLA ESTADUAL BOM JARDIM,204,0,0,204,0.5,0.0,0.0,0.5,0.0,0.0,0.5
Ananindeua,Urbana,15034631,ESCOLA ESTADUAL JULIA SEFFER,0,359,361,720,0.0,2.5,1.1,0.0,1.2,0.6,1.8
Ananindeua,Urbana,15034658,ESCOLA ESTADUAL MARIA ENCARNACAO DE ARAUJO,0,87,0,87,0.0,2.5,0.0,0.0,2.5,0.0,2.5
Ananindeua,Urbana,15034674,ESCOLA ESTADUAL OSCARINA PENALBER,0,0,93,93,0.0,0.0,1.3,0.0,0.0,1.3,1.3
Ananindeua,Urbana,15034747,ESCOLA ESTADUAL RAMIRO OLAVO RIBEIRO DE CASTRO,0,0,265,265,0.0,0.0,1.3,0.0,0.0,1.3,1.3
Ananindeua,Urbana,15034780,ESCOLA ESTADUAL EROTILDES FROTA AGUIAR,0,110,719,829,0.0,0.5,0.4,0.0,0.1,0.3,0.4
