municipio,regiao_integracao,codigo_escola,nome_escola,etapa_ensino,meta_pactuada,decimo_crescimento,ponto_crescimento,ponto_regiao_integracao,ponto_fluxo,ponto_alfabetizacao,bonus_prof_1_e_2_ano,bonus_prof_3_a_5_ano,indice_bonus
Alenquer,Baixo Amazonas,15005143,ESCOLA ESTADUAL DR JOSE JORGE HAGE,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,3.0,0.6,1.0,0.5,0.0,0.0,3.1,
Ananindeua,Guajará,15033830,ESCOLA ESTADUAL PRINCESA ISABEL - CENTRO,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,1.0,0.2,0.0,0.5,0.0,0.0,1.75,
Ananindeua,Guajará,15033945,ESCOLA ESTADUAL CINDERELA,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,1.0,0.2,0.0,0.5,0.0,0.0,1.75,
Ananindeua,Guajará,15033970,ESCOLA ESTADUAL C MAES NOSSA SENHORA APAR PARQUE S FRANCISCO,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,4.0,1.0,0.0,0.5,0.0,0.0,1.5,
Ananindeua,Guajará,15034321,ESCOLA ESTADUAL CANDIDO HORACIO EVELIN,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,2.0,0.4,0.0,0.5,1.0,1.0,1.9,
Ananindeua,Guajará,15034330,ESCOLA ESTADUAL CELINA DEL TETTO,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,1.0,0.2,0.0,0.5,1.0,1.0,0.7,
Ananindeua,Guajará,15034348,ESCOLA ESTADUAL ANTONIO BEZERRA FALCAO,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,4.0,0.8,0.0,0.5,0.0,0.0,1.3,
Ananindeua,Guajará,15034380,ESCOLA ESTADUAL PROF GELMIREZ MELO E SILVA,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,
Ananindeua,Guajará,15034437,ESCOLA ESTADUAL ARIRI,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,3.0,0.8,0.0,0.5,0.0,0.0,2.25,
Ananindeua,Guajará,15034470,ESCOLA ESTADUAL PROF JOSE ASSIS RIBEIRO,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,4.0,1.0,0.0,0.5,1.0,1.0,2.5,
Ananindeua,Guajará,15034542,ESCOLA ESTADUAL BOM JARDIM,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,
Ananindeua,Guajará,15034550,ESCOLA ESTADUAL DEP ARMANDO CORREA,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,4.0,1.0,0.0,0.5,0.0,0.0,2.5,
Ananindeua,Guajará,15034585,ESCOLA ESTADUAL DR GASPAR VIANNA,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,
Ananindeua,Guajará,15034666,ESCOLA ESTADUAL MAGUARI,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,
Ananindeua,Guajará,15034771,ESCOLA ESTADUAL PRINCESA ISABEL - ATALAIA,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,0.0,0.0,0.0,0.5,,,0.5,
Ananindeua,Guajará,15034810,ESCOLA ESTADUAL GREGORIO DE ALMEIDA BRITO,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,3.0,0.6,0.0,0.5,0.0,0.0,1.1,
Ananindeua,Guajará,15034828,ESCOLA ESTADUAL COMANDANTE LAURINDO CANDIDO AZEITONA,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,3.0,0.6,0.0,0.5,0.0,0.0,1.1,
Ananindeua,Guajará,15034887,ESCOLA ESTADUAL RUI BARATA,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,4.0,1.0,0.0,0.5,1.0,1.0,2.5,
Ananindeua,Guajará,15035425,ESCOLA ESTADUAL ELAINE ISMAELINO DE FREITAS,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,1.0,0.2,0.0,0.5,0.0,0.0,0.7,
Ananindeua,Guajará,15035530,ESCOLA ESTADUAL ANTONIO SAMPAIO,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,2.0,0.2,0.0,0.5,0.0,0.0,0.7,
Ananindeua,Guajará,15035590,ESCOLA ESTADUAL JOAO XXIII,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,
Ananindeua,Guajará,15035620,ESCOLA ESTADUAL CARLOS DRUMMOND DE ANDRADE,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,
Ananindeua,Guajará,15035646,ESCOLA ESTADUAL CRISTO REDENTOR,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,2.0,0.2,0.0,0.5,,,0.7,
Ananindeua,Guajará,15143970,ESCOLA ESTADUAL NOVAS AGUAS LINDAS,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,
Ananindeua,Guajará,15144720,ESCOLA ESTADUAL JARDIM JADER BARBALHO,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,5.0,1.0,0.0,0.0,1.0,1.0,2.0,
Ananindeua,Guajará,15515613,ESCOLA ESTADUAL CENTRO EDUCACIONAL AMAZONIA,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,4.0,1.0,0.0,0.5,1.0,1.0,2.5,
Ananindeua,Guajará,15516830,ESCOLA ESTADUAL ANANI,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,1.0,0.2,0.0,0.5,0.0,0.0,1.7,
Ananindeua,Guajará,15516954,ESCOLA ESTADUAL NAIR RODRIGUES DE CALDAS BRITO ZALUTH,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,5.0,1.0,0.0,0.5,0.0,0.0,2.5,
Ananindeua,Guajará,15517039,ESCOLA ESTADUAL ESPIRITO SANTO,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,3.0,0.6,0.0,0.5,0.0,0.0,2.1,
Ananindeua,Guajará,15521150,ESCOLA ESTADUAL PADRE PIETRO GEROSA,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,4.0,0.8,0.0,0.5,0.0,0.0,2.3,
Ananindeua,Guajará,15535134,ESCOLA ESTADUAL SAO VICENTE,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,1.0,0.2,0.0,0.5,0.0,0.0,1.75,
Ananindeua,Guajará,15539865,ESCOLA ESTADUAL MORADORES CRISTO REI,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,2.0,0.5,0.0,0.5,0.0,0.0,1.0,
Ananindeua,Guajará,15544850,ESCOLA ESTADUAL CONEGO BATISTA CAMPOS,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,5.0,1.0,0.0,0.5,0.0,0.0,2.5,
Ananindeua,Guajará,15571955,ESCOLA ESTADUAL BENEDITO CELSO PADUA COSTA,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,3.0,0.6,0.0,0.5,0.0,0.0,2.1,
Belém,Guajará,15034682,ESCOLA ESTADUAL PEDRO CARNEIRO,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,
Belém,Guajará,15035042,ESCOLA ESTADUAL ELCIONE BARBALHO,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,4.0,1.0,0.0,0.5,,,2.5,
Belém,Guajará,15035220,ESCOLA ESTADUAL PE ORIONE,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,1.0,0.1,0.0,0.5,,,0.6,
Belém,Guajará,15035239,ESCOLA ESTADUAL PEDRO MARQUES DE MESQUITA,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,4.0,1.0,1.0,0.5,1.0,1.0,3.5,
Belém,Guajará,15037126,ESCOLA ESTADUAL MORADORES VILA NOVA P MOURA CARVALHO,ENSINO FUNDAMENTAL ANOS INICIAIS,0.0,1.0,0.2,0.0,0.5,0.0,0.0,0.7,
Belém,Guajará,15037223,ESCOLA ESTADUAL CASA DA CRIANCA SANTA INES,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,2.0,0.5,0.0,0.5,1.0,1.0,2.0,
Belém,Guajará,15037991,ESCOLA ESTADUAL CONEGO BATISTA CAMPOS,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,3.0,0.6,0.0,0.5,,,2.1,
Belém,Guajará,15038696,ESCOLA ESTADUAL MARLUCE PACHECO FERREIRA,ENSINO FUNDAMENTAL ANOS INICIAIS,1.0,5.0,1.0,0.0,0.5,0.0,0.0,2.5,
