municipio,codigo_escola,sectet,nome_escola,atingiu_meta_pactuada,decimo_crescimento,ponto_crescimento,fluxo,bonus_prof_vinculado_turma,bonus_cargo_administrativo
Ananindeua,15034453,True,EEEF PRES TANCREDO DE ALMEIDA NEVES,0.0,0.0,0.0,0.5,0.5,0.5
Belém,15040267,True,ESCOLA TECNICA ESTADUAL VILHENA ALVES,0.0,4.0,0.8,0.5,1.3,1.3
Belém,15041450,True,ESCOLA TECNICA ESTADUAL MAGALHAES BARATA,1.0,5.0,1.0,0.5,2.5,2.5
Belém,15098150,True,EETEPA-BELEM,1.0,5.0,1.0,0.5,2.5,2.5
Belém,15209008,True,E E E T PROF ANISIO TEIXEIRA,0.0,4.0,0.8,0.5,1.3,1.3
Belém,15540405,True,EE DE ENSINO TECNICO DE NIVEL MEDIO DR CELSO MALCHER,0.0,1.0,0.25,0.5,0.7,0.7
Cametá,15587878,True,CENTRO INTEGRADO DE EDUC DO BAIXO TOCANTINS,0.0,2.0,0.4,0.5,0.9,0.9
Castanhal,15168689,True,EEETMA SAO LUCAS,1.0,4.0,1.0,0.5,2.5,2.5
Curuçá,15168522,True,EEEM PROFA MARIA DE NAZARE GUIMARAES MACEDO,0.0,0.0,0.0,0.5,0.5,0.5
Itaituba,15587894,True,EETEPA - ITAITUBA,0.0,4.0,0.8,0.5,1.3,1.3
Marituba,15043690,True,ESCOLA ESTADUAL AGROINDUSTRIAL JUSCELINO KUBITSCHEK DE OLIVEIRA,1.0,3.0,0.75,0.5,2.3,2.3
Marituba,15160815,True,ESCOLA ESTADUAL CENTRO DE EDUCACAO PROFISSIONAL DOM ARISTIDES PIROVANO,0.0,1.0,0.25,0.5,0.7,0.7
Monte Alegre,15587886,True,EETEPA MONTE ALEGRE,0.0,1.0,0.2,0.5,0.7,0.7
Oriximiná,15165965,True,EETEPA ORIXIMINA,0.0,3.0,0.6,0.5,1.1,1.1
Paragominas,15582949,True,EETEPA-ESCOLA ESTADUAL DE EDUCACAO TECNOLOGICA DO PARA- PARAGOMINAS,0.0,0.0,0.0,0.5,0.5,0.5
Salvaterra,15585972,True,E E E TECNOLOGICA DO ESTADO DO PARA - EETEPA SALVATERRA,1.0,4.0,1.0,0.5,2.5,2.5
Santa Izabel do Pará,15150534,True,EEEM IRMA ALBERTINA LEITAO,0.0,2.0,0.4,0.5,0.9,0.9
Santarém,15168964,True,EETEPA SANTAREM,0.0,0.0,0.0,0.5,0.5,0.5
Tailândia,15587916,True,ESCOLA DE ENSINO TECNICO DO ESTADO DO PARA - EETEPA TAILANDIA,0.0,2.0,0.4,0.5,0.9,0.9
Vigia,15165990,True,ESCOLA ESTADUAL TECNOLOGICA DE VIGIA DE NAZARE,0.0,2.0,0.4,0.5,0.9,0.9
Xinguara,15175952,True,EETEPA JORDAME CORREA QUEIROZ FILHO - XINGUARA,1.0,4.0,1.0,0.5,2.5,2.5
